,﻿Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
0,197901A11AD14,,,,,1,3,2,1,18/01/1979,5,08:00,11,9999,3,4,1,30,1,4,-1,-1,-1,-1,1,8,1,-1,0,-1,-1,
1,197901A1BAW34,198460.0,894000.0,,,1,3,1,1,01/01/1979,2,01:00,23,9999,6,0,9,30,3,4,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
2,197901A1BFD77,406380.0,307000.0,,,1,3,2,3,01/01/1979,2,01:25,17,9999,3,112,9,30,6,4,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
3,197901A1BGC20,281680.0,440000.0,,,1,3,2,2,01/01/1979,2,01:30,2,9999,3,502,-1,30,3,2,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
4,197901A1BGF95,153960.0,795000.0,,,1,2,2,1,01/01/1979,2,01:30,510,9999,3,309,6,30,0,-1,-1,0,-1,-1,4,3,3,-1,0,-1,-1,
5,197901A1CBC96,300370.0,146000.0,,,1,3,1,1,01/01/1979,2,02:05,9,9999,3,23,6,30,3,2,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
6,197901A1DAK71,143370.0,951000.0,,,1,3,2,2,01/01/1979,2,03:00,27,9999,4,454,9,30,0,-1,-1,0,-1,-1,4,8,3,-1,0,-1,-1,
7,197901A1DAP95,471960.0,845000.0,,,1,3,2,1,01/01/1979,2,03:00,19,9999,5,0,9,30,3,4,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
8,197901A1EAC32,323880.0,632000.0,,,1,2,1,1,01/01/1979,2,04:00,3,9999,3,105,6,30,3,4,-1,-1,-1,-1,4,3,3,-1,0,-1,-1,
9,197901A1FBK75,136380.0,245000.0,,,1,3,2,1,01/01/1979,2,05:05,27,9999,4,455,9,30,0,-1,-1,0,-1,-1,4,8,3,-1,0,-1,-1,
10,197901A1FDC88,334770.0,848000.0,,,1,3,1,1,01/01/1979,2,05:15,8,9999,3,2,9,30,0,-1,-1,0,-1,-1,4,8,3,-1,0,-1,-1,
11,197901A1FLC40,339580.0,480000.0,,,1,2,2,1,01/01/1979,2,05:55,4,9999,3,104,9,30,7,2,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
12,197901A1HJD08,253770.0,308000.0,,,1,3,1,1,01/01/1979,2,07:45,10,9999,3,218,9,30,3,4,-1,-1,-1,-1,4,8,2,-1,0,-1,-1,
13,197901A1IAD25,258470.0,885000.0,,,1,3,2,1,01/01/1979,2,08:00,12,9999,3,4,3,30,6,2,-1,-1,-1,-1,1,3,3,-1,0,-1,-1,
14,197901A1JBF05,251980.0,745000.0,,,1,3,1,1,01/01/1979,2,09:05,30,9999,3,502,9,30,0,-1,-1,0,-1,-1,1,3,3,-1,0,-1,-1,
15,197901A1KAP90,438660.0,340000.0,,,1,3,2,1,01/01/1979,2,10:00,19,9999,5,0,9,70,0,-1,-1,0,-1,-1,1,8,3,-1,0,-1,-1,
16,197901A1LBF06,241180.0,896000.0,,,1,3,4,3,01/01/1979,2,11:05,30,9999,3,400,3,40,0,-1,-1,0,-1,-1,1,8,3,-1,0,-1,-1,
17,197901A1MAC56,343680.0,166000.0,,,1,3,4,1,01/01/1979,2,12:00,5,9999,3,11,6,30,3,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
18,197901A1MBK65,56180.0,485000.0,,,1,3,2,2,01/01/1979,2,12:05,26,9999,4,467,9,30,0,-1,-1,0,-1,-1,1,8,3,-1,0,-1,-1,
19,197901A1MID52,509380.0,742000.0,,,1,3,2,1,01/01/1979,2,12:40,15,9999,3,124,9,30,6,2,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
20,197901A1MID59,565880.0,899000.0,,,1,3,2,2,01/01/1979,2,12:40,15,9999,3,127,3,70,9,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
21,197901A1NCE47,131770.0,437000.0,,,1,3,1,2,01/01/1979,2,13:10,24,9999,3,314,9,30,6,2,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
22,197901A1NCF00,249480.0,940000.0,,,1,3,2,2,01/01/1979,2,13:10,30,9999,3,1,3,40,3,2,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
23,197901A1NEK41,155370.0,421000.0,,,1,3,2,1,01/01/1979,2,13:20,24,9999,4,361,9,30,3,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
24,197901A1NIX85,198660.0,95000.0,,,1,3,1,1,01/01/1979,2,13:40,38,9999,6,0,9,30,3,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
25,197901A1OJE34,212670.0,204000.0,,,1,3,4,1,01/01/1979,2,14:45,23,9999,3,3,3,40,0,-1,-1,0,-1,-1,1,8,3,-1,2,-1,-1,
26,197901A1PCQ67,64490.0,137000.0,,,1,2,2,1,01/01/1979,2,15:10,26,9999,5,0,9,30,0,-1,-1,0,-1,-1,1,3,3,-1,0,-1,-1,
27,197901A1PGE11,245560.0,671000.0,,,1,3,2,1,01/01/1979,2,15:30,21,9999,3,24,9,30,6,2,-1,-1,-1,-1,1,3,3,-1,0,-1,-1,
28,197901A1QAC83,322880.0,23000.0,,,1,3,1,2,01/01/1979,2,16:00,8,9999,3,300,6,30,0,-1,-1,0,-1,-1,1,8,3,-1,0,-1,-1,
29,197901A1QKC66,404970.0,696000.0,,,1,3,2,1,01/01/1979,2,16:50,6,9999,3,2,3,30,3,2,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
30,197901A1QKD22,268870.0,902000.0,,,1,3,4,1,01/01/1979,2,16:50,12,9999,3,4,3,30,6,2,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
31,197901A1SEE71,179580.0,271000.0,,,1,2,2,1,01/01/1979,2,18:20,27,9999,3,40,3,50,0,-1,-1,0,-1,-1,4,8,3,-1,0,-1,-1,
32,197901A1SIW77,197980.0,67000.0,,,1,3,3,1,01/01/1979,2,18:40,27,9999,6,0,9,30,0,-1,-1,0,-1,-1,4,3,3,-1,0,-1,-1,
33,197901A1TEJ64,499080.0,584000.0,,,1,3,2,1,01/01/1979,2,19:20,16,9999,4,178,6,30,6,2,-1,-1,-1,-1,4,3,3,-1,0,-1,-1,
34,197901A1TGE26,281160.0,836000.0,,,1,3,1,1,01/01/1979,2,19:30,22,9999,3,236,9,30,3,4,-1,-1,-1,-1,4,3,3,-1,2,-1,-1,
35,197901A1UFC11,284670.0,911000.0,,,1,3,2,1,01/01/1979,2,20:25,1,9999,3,3217,-1,30,6,2,-1,-1,-1,-1,4,3,3,-1,0,-1,-1,
36,197901A1ULE42,166070.0,132000.0,,,1,3,2,1,01/01/1979,2,20:55,24,9999,3,310,6,30,6,2,-1,-1,-1,-1,4,3,3,-1,0,-1,-1,
37,197901A1WHF09,258890.0,399000.0,,,1,2,3,5,01/01/1979,2,22:35,30,9999,3,5109,9,30,6,4,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
38,197901A1WIL83,215550.0,863000.0,,,1,3,1,1,01/01/1979,2,22:40,38,9999,4,290,6,30,0,-1,-1,0,-1,-1,4,3,3,-1,0,-1,-1,
39,197901A1WJC66,417670.0,566000.0,,,1,3,3,2,01/01/1979,2,22:45,6,9999,3,2,6,30,3,4,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
40,197901A2DEI80,334170.0,710000.0,,,1,3,2,1,02/01/1979,3,03:20,8,9999,4,217,9,30,9,4,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
41,197901A2HJD81,467670.0,141000.0,,,1,3,2,1,02/01/1979,3,07:45,18,9999,3,211,6,30,3,4,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
42,197901A2JDW40,156970.0,80000.0,,,1,3,1,1,02/01/1979,3,09:15,24,9999,6,0,9,30,0,-1,-1,0,-1,-1,1,8,3,-1,0,-1,-1,
43,197901A2KBV97,409960.0,547000.0,,,1,2,1,1,02/01/1979,3,10:05,19,9999,6,0,9,70,0,-1,-1,0,-1,-1,1,8,3,-1,0,-1,-1,
44,197901A2KDE39,217060.0,779000.0,,,1,3,1,1,02/01/1979,3,10:15,23,9999,3,2043,6,30,3,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
45,197901A2KGC37,305980.0,477000.0,,,1,3,2,1,02/01/1979,3,10:30,3,9999,3,5203,9,30,6,2,-1,-1,-1,-1,1,8,2,-1,0,-1,-1,
46,197901A2KGP36,367180.0,896000.0,,,1,3,1,1,02/01/1979,3,10:30,13,9999,5,0,9,30,6,4,-1,-1,-1,-1,1,8,1,-1,0,-1,-1,
47,197901A2KIQ57,68370.0,427000.0,,,1,3,2,1,02/01/1979,3,10:40,25,9999,5,0,9,70,3,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
48,197901A2KIW60,92980.0,80000.0,,,1,3,2,1,02/01/1979,3,10:40,26,9999,6,0,6,30,0,-1,-1,0,-1,-1,1,2,3,-1,0,-1,-1,
49,197901A2KJJ74,429280.0,534000.0,,,1,3,1,1,02/01/1979,3,10:45,17,9999,4,165,6,30,6,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
50,197901A2LAP70,405480.0,200000.0,,,1,3,1,1,02/01/1979,3,11:00,17,9999,5,0,9,30,3,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
51,197901A2LEF19,321780.0,919000.0,,,1,3,2,1,02/01/1979,3,11:20,31,9999,3,504,9,30,3,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
52,197901A2LIR06,283190.0,346000.0,,,1,3,1,1,02/01/1979,3,11:40,30,9999,5,0,6,30,0,-1,-1,0,-1,-1,1,8,3,-1,0,-1,-1,
53,197901A2LJU95,304470.0,625000.0,,,1,3,1,1,02/01/1979,3,11:45,9,9999,6,0,9,30,8,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
54,197901A2MBV19,238470.0,669000.0,,,1,3,2,1,02/01/1979,3,12:05,11,9999,6,0,9,30,6,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
55,197901A2MCD09,261070.0,529000.0,,,1,3,2,1,02/01/1979,3,12:10,10,9999,3,3,1,30,1,4,-1,-1,-1,-1,1,8,2,-1,0,-1,-1,
56,197901A2MDU94,298370.0,354000.0,,,1,3,1,2,02/01/1979,3,12:15,9,9999,6,0,9,30,0,-1,-1,0,-1,-1,1,8,3,-1,0,-1,-1,
57,197901A2MFC44,349680.0,434000.0,,,1,2,1,1,02/01/1979,3,12:25,4,9999,3,107,6,30,0,-1,-1,0,-1,-1,1,8,3,-1,0,-1,-1,
58,197901A2MIE53,120770.0,253000.0,,,1,3,2,1,02/01/1979,3,12:40,25,9999,3,312,9,30,6,2,-1,-1,-1,-1,1,8,2,-1,0,-1,-1,
59,197901A2NCC44,336780.0,784000.0,,,1,3,1,1,02/01/1979,3,13:10,4,9999,3,10,9,30,6,2,-1,-1,-1,-1,1,8,2,-1,0,-1,-1,
60,197901A2NEW93,136080.0,953000.0,,,1,3,2,1,02/01/1979,3,13:20,29,9999,6,0,9,30,3,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
61,197901A2OFU90,305570.0,830000.0,,,1,3,1,1,02/01/1979,3,14:25,9,9999,6,0,9,30,0,-1,-1,0,-1,-1,1,2,3,-1,0,-1,-1,
62,197901A2OGD01,273370.0,631000.0,,,1,3,2,1,02/01/1979,3,14:30,10,9999,3,3205,-1,30,3,4,-1,-1,-1,-1,1,8,3,-1,0,-1,-1,
63,197901A2OKE25,257370.0,5000.0,,,1,3,4,1,02/01/1979,3,14:50,22,9999,3,238,9,30,0,-1,-1,0,-1,-1,1,8,2,-1,0,-1,-1,
64,197901A2PFF09,209390.0,349000.0,,,1,3,3,1,02/01/1979,3,15:25,30,9999,3,1,3,70,0,-1,-1,0,-1,-1,1,8,2,-1,0,-1,-1,
65,197901A2PIX21,364890.0,881000.0,,,1,3,1,1,02/01/1979,3,15:40,32,9999,6,0,9,30,0,-1,-1,0,-1,-1,1,3,3,-1,0,-1,-1,
66,197901A2PJ148,406890.0,48000.0,,,1,3,2,1,02/01/1979,3,15:45,14,9999,1,11,3,70,0,-1,-1,0,-1,-1,1,8,3,-1,0,-1,-1,
67,197901A2PKQ58,75770.0,398000.0,,,1,3,2,2,02/01/1979,3,15:50,25,9999,5,0,3,70,0,-1,-1,0,-1,-1,1,8,2,-1,0,-1,-1,
68,197901A2QAC26,291080.0,436000.0,,,1,3,2,2,02/01/1979,3,16:00,2,9999,3,5202,-1,30,6,2,-1,-1,-1,-1,4,8,2,-1,0,-1,-1,
69,197901A2QCC25,309780.0,195000.0,,,1,3,2,1,02/01/1979,3,16:10,2,9999,3,401,9,30,3,4,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
70,197901A2QED21,258170.0,971000.0,,,1,3,1,1,02/01/1979,3,16:20,12,9999,3,315,9,30,3,4,-1,-1,0,4,4,8,2,-1,0,-1,-1,
71,197901A2QEW70,130980.0,50000.0,,,1,3,3,2,02/01/1979,3,16:20,27,9999,6,0,9,30,0,-1,-1,0,-1,-1,1,8,3,-1,0,-1,-1,
72,197901A2QIW81,226980.0,401000.0,,,1,3,2,1,02/01/1979,3,16:40,28,9999,6,0,9,30,3,4,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
73,197901A2QKC48,318280.0,718000.0,,,1,1,1,1,02/01/1979,3,16:50,4,9999,3,503,6,30,3,4,-1,-1,0,1,4,8,3,-1,0,-1,-1,
74,197901A2QKD47,456880.0,677000.0,,,1,3,1,1,02/01/1979,3,16:50,14,9999,3,1083,9,30,6,4,-1,-1,0,1,4,8,3,-1,0,-1,-1,
75,197901A2RAU41,330980.0,401000.0,,,1,3,2,1,02/01/1979,3,17:00,4,9999,6,0,9,30,6,4,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
76,197901A2RDP20,251180.0,10000.0,,,1,3,1,1,02/01/1979,3,17:15,12,9999,5,0,9,30,3,4,-1,-1,-1,-1,4,8,3,-1,0,-1,-1,
77,197901A2RGC37,303380.0,297000.0,,,1,3,1,1,02/01/1979,3,17:30,3,9999,3,501,6,30,6,2,-1,-1,0,5,4,8,2,-1,0,-1,-1,
