id,full_name_check_value,last_name_check_value,ssn_score,dob_score,n1_score,n2_score,n3_score,n4_score,n5_score,n6_score,n7_score,n8_score,n9_score,n10_score,n11_score,n12_score,n13_score,n14_score,verified,ssn_match,dob_match,name_match,failure_explanation
17076,1,1,300,186,,,,,,,,,,,,,,,0,1,0,1,DOB
16744,0,0,0,0,7,7,7,7,7,7,7,7,6,6,6,6,6,6,0,0,0,0,SSN DOB NAME
42421,1,1,300,225,,,,,,,,,,,,,,,0,1,0,1,DOB
42641,1,1,266,263,,,,,,,,,,,,,,,0,0,0,1,SSN DOB
43253,0,0,0,0,27,27,27,27,27,27,27,27,22,22,22,22,22,22,0,0,0,0,SSN DOB NAME
43307,0,0,0,0,47,47,47,47,47,47,47,47,38,38,38,38,38,38,0,0,0,0,SSN DOB NAME
43345,1,1,300,263,,,,,,,,,,,,,,,0,1,0,1,DOB
43400,1,1,266,300,,,,,,,,,,,,,,,0,0,1,1,SSN
42543,1,1,300,0,,,,,,,,,,,,,,,0,1,0,1,DOB
42544,1,1,300,186,,,,,,,,,,,,,,,0,1,0,1,DOB
42548,1,1,300,237,,,,,,,,,,,,,,,0,1,0,1,DOB
42555,1,1,300,212,,,,,,,,,,,,,,,0,1,0,1,DOB
42558,0,1,300,0,240,235,184,184,18,144,21,21,231,17,207,200,127,132,0,1,0,1,DOB
42565,1,1,233,300,,,,,,,,,,,,,,,0,0,1,1,SSN
42579,1,1,300,263,,,,,,,,,,,,,,,0,1,0,1,DOB
42593,1,1,300,263,,,,,,,,,,,,,,,0,1,0,1,DOB
42603,1,1,300,150,,,,,,,,,,,,,,,0,1,0,1,DOB
42604,1,1,300,263,,,,,,,,,,,,,,,0,1,0,1,DOB
42621,1,1,300,263,,,,,,,,,,,,,,,0,1,0,1,DOB
43290,0,0,0,0,33,33,33,33,33,33,33,33,34,34,34,34,34,34,0,0,0,0,SSN DOB NAME
43711,0,0,300,300,244,192,184,192,244,192,184,192,188,168,164,164,164,164,0,1,1,0,NAME
43712,1,1,300,237,,,,,,,,,,,,,,,0,1,0,1,DOB
43725,1,1,300,263,,,,,,,,,,,,,,,0,1,0,1,DOB
43731,1,1,300,263,,,,,,,,,,,,,,,0,1,0,1,DOB
43733,1,1,266,300,,,,,,,,,,,,,,,0,0,1,1,SSN
10866,1,1,266,300,,,,,,,,,,,,,,,0,0,1,1,SSN
26982,0,0,0,0,25,25,25,25,25,25,25,25,19,19,19,19,19,19,0,0,0,0,SSN DOB NAME
27135,1,1,300,237,,,,,,,,,,,,,,,0,1,0,1,DOB
27349,0,0,0,0,24,24,24,24,24,24,24,24,19,19,19,19,19,19,0,0,0,0,SSN DOB NAME
27621,1,1,266,300,,,,,,,,,,,,,,,0,0,1,1,SSN
28090,1,1,266,300,,,,,,,,,,,,,,,0,0,1,1,SSN
28352,1,1,266,300,,,,,,,,,,,,,,,0,0,1,1,SSN
28770,1,1,300,0,,,,,,,,,,,,,,,0,1,0,1,DOB
35273,1,1,266,300,,,,,,,,,,,,,,,0,0,1,1,SSN
41441,1,1,300,150,,,,,,,,,,,,,,,0,1,0,1,DOB
41445,1,1,300,150,,,,,,,,,,,,,,,0,1,0,1,DOB
37354,1,1,300,113,,,,,,,,,,,,,,,0,1,0,1,DOB
30511,1,1,300,0,,,,,,,,,,,,,,,0,1,0,1,DOB
42259,1,1,300,150,,,,,,,,,,,,,,,0,1,0,1,DOB
33963,0,0,0,0,57,57,57,57,57,57,57,57,53,53,53,53,53,53,0,0,0,0,SSN DOB NAME
37998,1,1,99,300,,,,,,,,,,,,,,,0,0,1,1,SSN
42289,1,1,266,300,,,,,,,,,,,,,,,0,0,1,1,SSN
38754,1,1,266,300,,,,,,,,,,,,,,,0,0,1,1,SSN
42333,1,1,300,150,,,,,,,,,,,,,,,0,1,0,1,DOB
42340,1,1,300,0,,,,,,,,,,,,,,,0,1,0,1,DOB
39717,0,0,0,0,39,39,39,39,39,39,39,39,32,32,32,32,32,32,0,0,0,0,SSN DOB NAME
50808,1,1,300,300,,,,,,,,,,,,,,,1,1,1,1,
50810,1,1,300,300,,,,,,,,,,,,,,,1,1,1,1,
50809,1,1,300,300,,,,,,,,,,,,,,,1,1,1,1,
8996,1,1,300,150,,,,,,,,,,,,,,,0,1,0,1,DOB
5440,1,1,300,0,,,,,,,,,,,,,,,0,1,0,1,DOB
5810,1,1,300,300,,,,,,,,,,,,,,,1,1,1,1,
6655,1,1,233,300,,,,,,,,,,,,,,,0,0,1,1,SSN
6948,1,1,300,186,,,,,,,,,,,,,,,0,1,0,1,DOB
7462,1,1,266,300,,,,,,,,,,,,,,,0,0,1,1,SSN
7529,1,1,300,300,,,,,,,,,,,,,,,1,1,1,1,
50626,1,1,300,300,,,,,,,,,,,,,,,1,1,1,1,
