id,full_name_check_value,ssn_score,dob_score,n1_score,n2_score,n3_score,n4_score,n5_score,n6_score,n7_score,n8_score,n9_score,n10_score,n11_score,n12_score,n13_score,n14_score,ssn_match,dob_match,name_match,failure_explanation,last_name_check_value,verified
6196,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6197,0,0,0,31,31,31,31,31,31,31,31,26,26,26,26,26,26,0,0,0,SSN DOB NAME,0,0
6198,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6199,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6200,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6201,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6202,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6203,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6204,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6205,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6206,1,266,300,,,,,,,,,,,,,,,0,1,1,SSN,1,0
6207,0,0,0,15,15,15,15,15,15,15,15,12,12,12,12,12,12,0,0,0,SSN DOB NAME,0,0
6208,0,0,0,46,46,46,46,46,46,46,46,36,36,36,36,36,36,0,0,0,SSN DOB NAME,0,0
6209,0,0,0,15,15,15,15,15,15,15,15,12,12,12,12,12,12,0,0,0,SSN DOB NAME,0,0
6210,0,0,0,17,17,17,17,17,17,17,17,13,13,13,13,13,13,0,0,0,SSN DOB NAME,0,0
6211,0,0,0,39,39,39,39,39,39,39,39,33,33,33,33,33,33,0,0,0,SSN DOB NAME,0,0
6212,0,0,0,38,38,38,38,38,38,38,38,30,30,30,30,30,30,0,0,0,SSN DOB NAME,0,0
6213,0,0,0,8,8,8,8,8,8,8,8,6,6,6,6,6,6,0,0,0,SSN DOB NAME,0,0
6214,1,266,300,,,,,,,,,,,,,,,0,1,1,SSN,0,0
6215,0,0,0,57,57,57,57,57,57,57,57,53,53,53,53,53,53,0,0,0,SSN DOB NAME,0,0
6216,0,0,0,15,15,15,15,15,15,15,15,12,12,12,12,12,12,0,0,0,SSN DOB NAME,0,0
6217,0,0,0,8,8,8,8,8,8,8,8,6,6,6,6,6,6,0,0,0,SSN DOB NAME,0,0
6218,0,0,0,8,8,8,8,8,8,8,8,6,6,6,6,6,6,0,0,0,SSN DOB NAME,0,0
6220,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6221,0,0,0,41,41,41,41,41,41,41,41,32,32,32,32,32,32,0,0,0,SSN DOB NAME,0,0
6222,0,0,0,24,24,24,24,24,24,24,24,19,19,19,19,19,19,0,0,0,SSN DOB NAME,0,0
6223,0,0,0,22,22,22,22,22,22,22,22,24,24,24,24,24,24,0,0,0,SSN DOB NAME,0,0
6224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSN DOB NAME,0,0
6225,0,0,0,56,56,56,56,56,56,56,56,65,65,65,65,65,65,0,0,0,SSN DOB NAME,0,0
6226,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6227,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6228,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6229,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6230,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6231,0,0,0,25,25,25,25,25,25,25,25,19,19,19,19,19,19,0,0,0,SSN DOB NAME,0,0
6232,0,0,0,15,15,15,15,15,15,15,15,12,12,12,12,12,12,0,0,0,SSN DOB NAME,0,0
6233,0,0,0,21,21,21,21,21,21,21,21,23,23,23,23,23,23,0,0,0,SSN DOB NAME,0,0
6234,0,0,0,31,31,31,31,31,31,31,31,24,24,24,24,24,24,0,0,0,SSN DOB NAME,0,0
6235,0,0,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,SSN DOB NAME,0,0
6236,0,0,0,34,34,34,34,34,34,34,34,27,27,27,27,27,27,0,0,0,SSN DOB NAME,0,0
6237,0,0,0,13,13,13,13,13,13,13,13,11,11,11,11,11,11,0,0,0,SSN DOB NAME,0,0
6238,0,0,0,14,14,14,14,14,14,14,14,11,11,11,11,11,11,0,0,0,SSN DOB NAME,0,0
6239,0,0,0,32,32,32,32,32,32,32,32,25,25,25,25,25,25,0,0,0,SSN DOB NAME,0,0
6240,0,0,0,8,8,8,8,8,8,8,8,6,6,6,6,6,6,0,0,0,SSN DOB NAME,0,0
6241,0,0,0,42,42,42,42,42,42,42,42,34,34,34,34,34,34,0,0,0,SSN DOB NAME,0,0
6242,0,0,0,31,31,31,31,31,31,31,31,24,24,24,24,24,24,0,0,0,SSN DOB NAME,0,0
6243,0,0,0,58,58,58,58,58,58,58,58,48,48,48,48,48,48,0,0,0,SSN DOB NAME,0,0
6244,0,0,0,46,46,46,46,46,46,46,46,38,38,38,38,38,38,0,0,0,SSN DOB NAME,0,0
6245,0,0,0,21,21,21,21,21,21,21,21,17,17,17,17,17,17,0,0,0,SSN DOB NAME,0,0
6246,0,0,0,25,25,25,25,25,25,25,25,19,19,19,19,19,19,0,0,0,SSN DOB NAME,0,0
6247,0,0,0,38,38,38,38,38,38,38,38,30,30,30,30,30,30,0,0,0,SSN DOB NAME,0,0
6248,0,0,0,39,39,39,39,39,39,39,39,33,33,33,33,33,33,0,0,0,SSN DOB NAME,0,0
6249,0,0,0,16,16,16,16,16,16,16,16,13,13,13,13,13,13,0,0,0,SSN DOB NAME,0,0
6250,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6251,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6252,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6253,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6254,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6255,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6256,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6257,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6258,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6259,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6260,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6261,0,300,300,192,255,215,255,192,255,215,255,203,249,226,226,226,226,1,1,0,NAME,0,0
6262,0,300,300,215,170,150,275,215,170,150,275,190,192,204,237,204,237,1,1,1,,1,1
6263,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6264,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6265,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6266,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6267,1,300,263,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6268,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6269,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6270,0,300,300,137,265,207,265,137,265,207,265,194,231,244,244,244,244,1,1,1,,1,1
6271,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6272,1,266,300,,,,,,,,,,,,,,,0,1,1,SSN,1,0
6273,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6274,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6275,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6276,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6277,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6278,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6279,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6280,1,300,263,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6281,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6282,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6283,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6284,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6285,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6286,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6287,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6288,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6289,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6290,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6291,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6292,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6293,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6294,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6295,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6296,1,266,300,,,,,,,,,,,,,,,0,1,1,SSN,1,0
6297,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6298,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6299,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6300,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6301,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6302,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6303,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6304,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6305,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6306,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6307,0,300,300,215,247,215,229,215,247,215,229,242,225,223,216,223,216,1,1,1,,1,1
6308,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6309,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6310,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6311,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6312,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6313,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6314,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6315,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6316,0,0,0,20,20,20,20,20,20,20,20,16,16,16,16,16,16,0,0,0,SSN DOB NAME,0,0
6317,1,266,300,,,,,,,,,,,,,,,0,1,1,SSN,1,0
6318,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6319,0,300,0,110,237,86,86,18,150,21,21,228,17,193,172,130,130,1,0,1,DOB,1,0
6320,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6321,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6322,0,300,0,173,242,204,242,173,242,204,242,229,245,288,212,288,212,1,0,1,DOB,1,0
6323,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6324,1,266,300,,,,,,,,,,,,,,,0,1,1,SSN,1,0
6325,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6326,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6327,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6328,1,300,0,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6329,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6330,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6331,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6332,1,300,263,,,,,,,,,,,,,,,1,0,1,DOB,1,0
